month,website_visitors,trial_signups,paid_customers,churned_customers,revenue_usd,marketing_spend_usd,support_tickets,reporting_hours,data_quality_issues,dashboard_users
2025-01,18420,626,218,11,17440,8200,146,38,27,8
2025-02,19110,669,232,13,18560,8400,139,36,24,9
2025-03,20580,741,251,14,20080,9100,151,35,22,11
2025-04,21840,786,268,15,21440,9400,158,33,20,12
2025-05,22410,807,281,17,22480,9700,166,31,19,13
2025-06,23950,886,305,18,24400,10100,171,29,16,15
2025-07,24780,917,319,21,25520,10500,184,28,15,16
2025-08,26120,992,344,19,27520,10900,177,27,14,18
2025-09,27440,1043,368,20,29440,11300,181,25,12,21
2025-10,28650,1117,397,22,31760,11600,193,24,11,23
2025-11,30180,1207,432,25,34560,12100,207,22,10,26
2025-12,31840,1305,471,29,37680,12800,219,21,9,29
2026-01,32760,1376,503,31,40240,13100,226,20,8,32
2026-02,33620,1446,531,35,42480,13400,242,19,8,35
2026-03,35190,1548,573,34,45840,13900,238,18,7,39
2026-04,36940,1662,621,37,49680,14500,249,17,6,43
2026-05,38210,1758,665,43,53200,15100,271,16,6,47
2026-06,39780,1870,718,46,57440,15800,286,15,5,52
