month,quarter,region,channel,category,campaign,orders,revenue_ngn,cost_ngn,gross_profit_ngn,marketing_spend_ngn,returns,support_tickets,new_customers,repeat_customers,churned_customers,fulfillment_delay_hours,stockout_risk_pct,customer_satisfaction,data_quality_flags
2025-01,2025 Q1,Lagos,Store,Electronics,Always On,709,60974000,46401214,14572786,3780388,50,52,223,286,24,18.2,0.1107,4.08,26
2025-01,2025 Q1,Lagos,Store,Home & Living,Always On,567,29484000,20373444,9110556,1828008,25,34,176,232,15,17.7,0.0713,4.29,26
2025-01,2025 Q1,Lagos,Store,Beauty,Always On,437,12454500,7572336,4882164,772179,12,26,135,179,10,17.5,0.0500,4.41,26
2025-01,2025 Q1,Lagos,Store,Fashion,Always On,649,22066000,14651824,7414176,1368092,62,38,207,258,26,17.9,0.0845,4.06,26
2025-01,2025 Q1,Lagos,Store,Grocery,Always On,791,14633500,11911669,2721831,907277,17,47,243,326,17,17.6,0.0607,4.41,26
2025-01,2025 Q1,Lagos,Store,Business Supplies,SME Restock,518,33152000,23935744,9216256,2453248,18,31,160,212,13,17.8,0.0754,4.33,26
2025-01,2025 Q1,Lagos,Web,Electronics,Always On,634,54524000,41492764,13031236,3380488,45,55,236,211,23,18.2,0.1107,4.06,26
2025-01,2025 Q1,Lagos,Web,Home & Living,Always On,507,26364000,18217524,8146476,1634568,22,37,187,171,15,17.7,0.0713,4.27,26
2025-01,2025 Q1,Lagos,Web,Beauty,Always On,391,11143500,6775248,4368252,690897,10,28,143,133,10,17.5,0.0500,4.39,26
2025-01,2025 Q1,Lagos,Web,Fashion,Always On,581,19754000,13116656,6637344,1224748,55,42,219,190,25,17.9,0.0845,4.04,26
2025-01,2025 Q1,Lagos,Web,Grocery,Always On,708,13098000,10661772,2436228,812076,15,52,259,242,17,17.6,0.0607,4.39,26
2025-01,2025 Q1,Lagos,Web,Business Supplies,SME Restock,463,29632000,21394304,8237696,2192768,16,34,170,157,13,17.8,0.0754,4.31,26
2025-01,2025 Q1,Lagos,Marketplace,Electronics,Always On,510,43860000,33728340,10131660,2719320,39,49,210,145,20,18.2,0.1107,4.02,31
2025-01,2025 Q1,Lagos,Marketplace,Home & Living,Always On,408,21216000,14829984,6386016,1315392,20,33,166,118,13,17.7,0.0713,4.24,31
2025-01,2025 Q1,Lagos,Marketplace,Beauty,Always On,314,8949000,5512584,3436416,554838,9,26,127,92,9,17.5,0.0500,4.37,31
2025-01,2025 Q1,Lagos,Marketplace,Fashion,Always On,467,15878000,10670016,5207984,984436,49,38,194,131,22,17.9,0.0845,3.99,31
2025-01,2025 Q1,Lagos,Marketplace,Grocery,Always On,569,10526500,8652783,1873717,652643,13,47,229,168,15,17.6,0.0607,4.37,31
2025-01,2025 Q1,Lagos,Marketplace,Business Supplies,SME Restock,372,23808000,17379840,6428160,1761792,14,30,151,108,11,17.8,0.0754,4.28,31
2025-01,2025 Q1,Lagos,Partner,Electronics,Always On,422,36292000,27618212,8673788,2250104,29,34,144,156,14,18.2,0.1107,4.07,26
2025-01,2025 Q1,Lagos,Partner,Home & Living,Always On,338,17576000,12145016,5430984,1089712,15,22,114,127,9,17.7,0.0713,4.28,26
2025-01,2025 Q1,Lagos,Partner,Beauty,Always On,260,7410000,4505280,2904720,459420,7,17,87,98,6,17.5,0.0500,4.40,26
2025-01,2025 Q1,Lagos,Partner,Fashion,Always On,387,13158000,8736912,4421088,815796,37,25,134,141,16,17.9,0.0845,4.05,26
2025-01,2025 Q1,Lagos,Partner,Grocery,Always On,472,8732000,7107848,1624152,541384,10,31,157,180,11,17.6,0.0607,4.40,26
2025-01,2025 Q1,Lagos,Partner,Business Supplies,SME Restock,309,19776000,14278272,5497728,1463424,10,20,104,116,8,17.8,0.0754,4.32,26
2025-01,2025 Q1,Abuja,Store,Electronics,Always On,539,46354000,35460810,10893190,2873948,38,39,170,217,18,18.9,0.1188,4.06,28
2025-01,2025 Q1,Abuja,Store,Home & Living,Always On,431,22412000,15576340,6835660,1389544,19,25,134,176,11,18.5,0.0766,4.28,28
2025-01,2025 Q1,Abuja,Store,Beauty,Always On,332,9462000,5790744,3671256,586644,9,19,103,136,7,18.2,0.0537,4.40,28
2025-01,2025 Q1,Abuja,Store,Fashion,Always On,494,16796000,11219728,5576272,1041352,47,29,158,196,19,18.6,0.0906,4.04,28
2025-01,2025 Q1,Abuja,Store,Grocery,Always On,602,11137000,9110066,2026934,690494,13,36,185,248,13,18.4,0.0651,4.40,28
2025-01,2025 Q1,Abuja,Store,Business Supplies,SME Restock,394,25216000,18306816,6909184,1865984,13,23,122,161,9,18.5,0.0810,4.31,28
2025-01,2025 Q1,Abuja,Web,Electronics,Always On,482,41452000,31710780,9741220,2570024,34,42,180,160,18,18.9,0.1188,4.04,28
2025-01,2025 Q1,Abuja,Web,Home & Living,Always On,386,20072000,13950040,6121960,1244464,17,28,142,130,11,18.5,0.0766,4.26,28
2025-01,2025 Q1,Abuja,Web,Beauty,Always On,297,8464500,5180274,3284226,524799,8,21,109,101,7,18.2,0.0537,4.38,28
2025-01,2025 Q1,Abuja,Web,Fashion,Always On,442,15028000,10038704,4989296,931736,42,32,167,144,19,18.6,0.0906,4.02,28
2025-01,2025 Q1,Abuja,Web,Grocery,Always On,538,9953000,8141554,1811446,617086,11,39,196,184,13,18.4,0.0651,4.38,28
2025-01,2025 Q1,Abuja,Web,Business Supplies,SME Restock,352,22528000,16355328,6172672,1667072,12,26,129,119,9,18.5,0.0810,4.29,28
2025-01,2025 Q1,Abuja,Marketplace,Electronics,Always On,387,33282000,25726986,7555014,2063484,30,37,159,110,15,18.9,0.1188,4.00,33
2025-01,2025 Q1,Abuja,Marketplace,Home & Living,Always On,310,16120000,11332360,4787640,999440,15,25,126,90,10,18.5,0.0766,4.23,33
2025-01,2025 Q1,Abuja,Marketplace,Beauty,Always On,239,6811500,4223130,2588370,422313,7,19,97,70,7,18.2,0.0537,4.36,33
2025-01,2025 Q1,Abuja,Marketplace,Fashion,Always On,355,12070000,8159320,3910680,748340,37,29,148,99,17,18.6,0.0906,3.97,33
2025-01,2025 Q1,Abuja,Marketplace,Grocery,Always On,433,8010500,6616673,1393827,496651,10,35,174,128,11,18.4,0.0651,4.36,33
2025-01,2025 Q1,Abuja,Marketplace,Business Supplies,SME Restock,283,18112000,13294208,4817792,1340288,10,23,115,82,8,18.5,0.0810,4.27,33
2025-01,2025 Q1,Abuja,Partner,Electronics,Always On,321,27606000,21118590,6487410,1711572,22,26,109,119,11,18.9,0.1188,4.05,28
